category,method,auroc
bottle,AE,0.6682539682539682
bottle,kNN,0.9944444444444444
cable,AE,0.5159295352323838
cable,kNN,0.8744377811094453
capsule,AE,0.5755883526126844
capsule,kNN,0.8755484642999601
carpet,AE,0.35032102728731945
carpet,kNN,0.7708667736757624
grid,AE,0.7410192147034252
grid,kNN,0.5263157894736842
hazelnut,AE,0.8953571428571429
hazelnut,kNN,0.9600000000000001
leather,AE,0.40421195652173914
leather,kNN,0.8882472826086956
metal_nut,AE,0.29765395894428154
metal_nut,kNN,0.8088954056695992
pill,AE,0.7204037097654119
pill,kNN,0.7326786688488816
screw,AE,0.9331830293092847
screw,kNN,0.8704652592744415
tile,AE,0.6951659451659451
tile,kNN,0.968975468975469
toothbrush,AE,0.36111111111111116
toothbrush,kNN,0.9333333333333332
transistor,AE,0.49875
transistor,kNN,0.9220833333333334
wood,AE,0.9640350877192982
wood,kNN,0.8640350877192983
zipper,AE,0.39311974789915966
zipper,kNN,0.9524684873949579
